,ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,OREDEREDQUANTITY
0,ES1,C00237,IT0001433,15-JAN,15.0
1,ES1,C00237,IT0001016,15-JAN,750.0
2,ES1,C00237,IT0001024,15-JAN,320.0
3,ES1,C00237,IT0001084,15-JAN,250.0
4,ES3,C00196,IT0001076,27-MAR,250.0
5,ES1,C00110,IT0001088,01-APR,480.0
6,ES1,C00354,IT0001020,14-APR,1280.0
7,ES1,C00354,IT0001012,14-APR,1000.0
8,ES1,C00138,IT0001127,16-FEB,280.0
9,ES1,C00138,IT0001137,16-FEB,200.0
10,ES1,C00138,IT0001030,16-FEB,30.0
11,ES1,C00138,IT0001084,16-FEB,750.0
12,ES1,C00138,IT0001106,16-FEB,30.0
13,ES3,C00127,IT0001012,20-APR,1500.0
14,ES3,C00127,IT0001012,20-APR,1500.0
15,ES3,C00127,IT0001151,20-APR,160.0
16,ES1,C00280,IT0001159,03-FEB,24.0
17,ES3,C00313,IT0001012,02-FEB,250.0
18,ES3,C00313,IT0001471,02-FEB,13.0
19,ES1,C00354,IT0001020,07-FEB,800.0
20,ES1,C00354,IT0001020,07-FEB,800.0
21,ES3,C00154,IT0001124,12-FEB,2.0
22,ES1,C00102,IT0001012,16-FEB,2000.0
23,ES3,C00216,IT0001040,04-MAY,72.0
24,ES3,C00311,IT0001076,13-MAY,250.0
25,ES1,C00351,IT0001415,21-MAY,3.0
26,ES3,C00313,IT0001040,25-MAY,72.0
27,ES3,C00313,IT0001101,25-MAY,180.0
28,ES1,C00246,IT0001076,08-JUN,500.0
29,ES3,C00301,IT0001076,16-JUN,500.0
30,ES1,C00246,IT0001012,22-JUN,250.0
31,ES3,C00335,IT0001159,25-JUN,16.0
32,ES3,C00335,IT0001068,25-JUN,72.0
33,ES1,C00186,IT0001068,29-JUN,72.0
34,ES3,C00115,IT0001012,01-JUL,1500.0
35,ES3,C00115,IT0001012,01-JUL,1500.0
36,ES3,C00115,IT0001088,01-JUL,640.0
37,ES3,C00115,IT0001088,01-JUL,640.0
38,ES3,C00115,IT0001088,01-JUL,640.0
39,ES3,C00311,IT0001040,03-JUL,72.0
40,ES3,C00315,IT0001076,07-JUL,250.0
41,ES3,C00315,IT0001124,07-JUL,64.0
42,ES1,C00257,IT0001124,23-FEB,24.0
43,ES1,C00140,IT0001033,24-FEB,130.0
44,ES1,C00313,IT0001471,27-FEB,25.0
45,ES1,C00283,IT0001471,06-MAR,45.0
46,ES3,C00205,IT0001151,18-MAR,240.0
47,ES3,C00205,IT0001151,18-MAR,240.0
48,ES3,C00205,IT0001151,18-MAR,240.0
49,ES3,C00205,IT0001139,18-MAR,80.0
50,ES3,C00205,IT0001139,18-MAR,80.0
51,ES1,C00285,IT0001016,01-OCT,1500.0
52,ES1,C00245,IT0001415,12-OCT,100.0
53,ES1,C00245,IT0001481,12-OCT,50.0
54,ES1,C00241,IT0001016,18-NOV,86.0
55,ES1,C00308,IT0001213,28-NOV,6000.0
56,ES1,C00308,IT0001213,28-NOV,6000.0
57,ES1,C00308,IT0001213,28-NOV,6000.0
58,ES1,C00284,IT0001084,26-FEB,832.0
59,ES1,C00225,IT0001009,21-FEB,190.0
60,ES1,C00225,IT0001007,21-FEB,132.0
61,ES1,C00225,IT0001513,21-FEB,22.0
62,ES1,C00225,IT0001223,21-FEB,100.0
63,ES1,C00230,IT0001365,21-FEB,30.0
64,ES1,C00230,IT0001365,21-FEB,17.0
65,ES1,C00224,IT0001354,05-MAR,20.0
66,ES1,C00224,IT0001354,05-MAR,20.0
67,ES1,C00224,IT0001410,05-MAR,250.0
68,ES1,C00224,IT0001410,05-MAR,250.0
69,ES1,C00224,IT0001427,05-MAR,54.0
70,ES1,C00224,IT0001427,05-MAR,54.0
71,ES1,C00224,IT0001390,05-MAR,60.0
72,ES1,C00224,IT0001390,05-MAR,60.0
73,ES1,C00224,IT0001446,05-MAR,30.0
74,ES1,C00283,IT0001488,17-OCT,8.0
75,ES1,C00335,IT0001033,26-OCT,130.0
76,ES1,C00335,IT0001159,26-OCT,24.0
77,ES1,C00301,IT0001494,07-NOV,16.0
78,ES1,C00311,IT0001371,11-NOV,47.0
79,ES3,C00277,IT0001076,18-NOV,900.0
80,ES3,C00277,IT0001076,18-NOV,900.0
81,ES3,C00196,IT0001012,20-NOV,1000.0
82,ES3,C00283,IT0001020,09-DEC,160.0
83,ES3,C00195,IT0001494,16-JAN,15.0
84,ES1,C00252,IT0001084,09-JAN,300.0
85,ES1,C00256,IT0001197,21-JAN,100.0
86,ES1,C00152,IT0001471,28-JAN,10.0
87,ES1,C00152,IT0001494,28-JAN,20.0
88,ES1,C00252,IT0001130,10-FEB,50.0
89,ES3,C00313,IT0001012,02-JUL,1000.0
90,ES3,C00313,IT0001012,02-JUL,1000.0
91,ES3,C00313,IT0001012,02-JUL,1000.0
92,ES3,C00313,IT0001162,09-DEC,56.0
93,ES1,C00335,IT0001494,11-DEC,15.0
94,ES1,C00301,IT0001040,14-DEC,72.0
95,ES3,C00128,IT0001012,18-DEC,250.0
96,ES3,C00196,IT0001012,22-DEC,1000.0
97,ES1,C00256,IT0001203,29-APR,150.0
98,ES1,C00245,IT0001452,14-MAY,13.0
99,ES1,C00245,IT0001452,14-MAY,13.0
100,ES1,C00237,IT0001096,18-MAY,500.0
101,ES1,C00237,IT0001096,18-MAY,500.0
102,ES1,C00237,IT0001030,18-MAY,50.0
103,ES1,C00367,IT0001488,24-JUL,8.0
104,ES1,C00284,IT0001139,31-AUG,254.0
105,ES1,C00210,IT0001076,11-AUG,425.0
106,ES1,C00173,IT0001070,12-AUG,200.0
107,ES3,C00315,IT0001020,18-SEP,160.0
108,ES1,C00143,IT0001461,22-SEP,5.0
109,ES3,C00313,IT0001012,21-SEP,250.0
110,ES3,C00311,IT0001151,01-OCT,80.0
111,ES1,C00301,IT0001151,05-OCT,216.0
112,ES1,C00110,IT0001494,18-SEP,5.0
113,ES1,C00277,IT0001076,24-SEP,1250.0
114,ES1,C00277,IT0001076,24-SEP,1250.0
115,ES1,C00219,IT0001494,28-SEP,20.0
116,ES3,C00277,IT0001088,01-OCT,700.0
117,ES3,C00277,IT0001088,01-OCT,700.0
118,ES1,C00312,IT0001488,08-OCT,10.0
119,ES1,C00301,IT0001012,19-OCT,1250.0
120,ES1,C00301,IT0001012,19-OCT,1250.0
121,ES1,C00301,IT0001012,19-OCT,1250.0
122,ES1,C00301,IT0001068,19-OCT,72.0
123,ES3,C00342,IT0001088,24-OCT,160.0
124,ES3,C00128,IT0001076,28-OCT,500.0
125,ES1,C00301,IT0001151,29-OCT,120.0
126,ES1,C00301,IT0001151,29-OCT,120.0
127,ES1,C00301,IT0001020,29-OCT,320.0
128,ES1,C00301,IT0001020,29-OCT,320.0
129,ES3,C00193,IT0001101,19-NOV,10.0
130,ES1,C00246,IT0001162,09-NOV,40.0
131,ES1,C00312,IT0001088,07-NOV,160.0
132,ES3,C00128,IT0001033,11-NOV,650.0
133,ES1,C00222,IT0001264,19-NOV,2004.0
134,ES3,C00311,IT0001020,16-NOV,160.0
135,ES3,C00313,IT0001012,17-NOV,2500.0
136,ES3,C00313,IT0001012,17-NOV,2500.0
137,ES3,C00313,IT0001012,17-NOV,2500.0
138,ES3,C00313,IT0001012,17-NOV,2500.0
139,ES3,C00313,IT0001012,17-NOV,2500.0
140,ES1,C00110,IT0001151,20-NOV,104.0
141,ES1,C00143,IT0001415,03-JUN,15.0
142,ES1,C00143,IT0001060,12-JUN,4.0
143,ES1,C00301,IT0001020,18-JUN,320.0
144,ES1,C00301,IT0001020,18-JUN,320.0
145,ES3,C00315,IT0001124,23-JUN,24.0
146,ES1,C00312,IT0001076,25-JUN,250.0
147,ES1,C00257,IT0001088,29-JUN,320.0
148,ES1,C00257,IT0001159,29-JUN,64.0
149,ES3,C00240,IT0001376,02-JUL,15.0
150,ES3,C00240,IT0001367,02-JUL,15.0
151,ES3,C00313,IT0001012,02-JUL,1000.0
152,ES3,C00351,IT0001273,12-MAR,250.0
153,ES3,C00351,IT0001273,12-MAR,250.0
154,ES1,C00340,IT0001012,18-MAR,250.0
155,ES1,C00246,IT0001076,18-MAR,1500.0
156,ES1,C00246,IT0001076,18-MAR,1500.0
157,ES1,C00246,IT0001076,18-MAR,1500.0
158,ES3,C00113,IT0001088,22-APR,800.0
159,ES3,C00113,IT0001088,22-APR,800.0
160,ES1,C00301,IT0001012,25-APR,500.0
161,ES1,C00101,IT0001076,05-MAY,250.0
162,ES1,C00101,IT0001113,05-MAY,72.0
163,ES1,C00140,IT0001012,09-MAY,3000.0
164,ES1,C00140,IT0001012,09-MAY,3000.0
165,ES1,C00140,IT0001012,09-MAY,3000.0
166,ES1,C00140,IT0001012,09-MAY,3000.0
167,ES1,C00140,IT0001151,09-MAY,200.0
168,ES1,C00283,IT0001124,11-MAY,96.0
169,ES1,C00110,IT0001151,23-MAY,128.0
170,ES3,C00283,IT0001020,25-MAY,480.0
171,ES3,C00315,IT0001020,27-MAY,640.0
172,ES3,C00315,IT0001151,27-MAY,64.0
173,ES3,C00315,IT0001151,27-MAY,64.0
174,ES1,C00283,IT0001488,03-JUN,13.0
175,ES3,C00238,IT0001033,05-JUN,130.0
176,ES3,C00311,IT0001162,10-JUN,80.0
177,ES1,C00354,IT0001040,12-JUN,72.0
178,ES1,C00126,IT0001076,24-JUN,250.0
179,ES1,C00301,IT0001012,27-JUN,4000.0
180,ES1,C00301,IT0001012,27-JUN,4000.0
181,ES1,C00301,IT0001012,27-JUN,4000.0
182,ES1,C00301,IT0001012,27-JUN,4000.0
183,ES1,C00301,IT0001012,27-JUN,4000.0
184,ES1,C00301,IT0001012,27-JUN,4000.0
185,ES1,C00301,IT0001012,27-JUN,4000.0
186,ES1,C00301,IT0001012,27-JUN,4000.0
187,ES3,C00315,IT0001151,20-JAN,200.0
188,ES3,C00311,IT0001020,21-JAN,160.0
189,ES3,C00113,IT0001162,28-JAN,96.0
190,ES3,C00113,IT0001162,28-JAN,96.0
191,ES3,C00113,IT0001012,28-JAN,1500.0
192,ES3,C00113,IT0001012,28-JAN,1500.0
193,ES1,C00283,IT0001130,02-FEB,8.0
194,ES1,C00257,IT0001415,07-FEB,8.0
195,ES3,C00314,IT0001076,11-FEB,500.0
196,ES3,C00314,IT0001076,11-FEB,500.0
197,ES3,C00314,IT0001108,11-FEB,130.0
198,ES3,C00313,IT0001088,30-MAR,160.0
199,ES1,C00300,IT0001088,02-APR,320.0
200,ES3,C00335,IT0001471,07-APR,15.0
201,ES3,C00335,IT0001151,07-APR,64.0
202,ES3,C00128,IT0001012,10-APR,750.0
203,ES1,C00301,IT0001159,14-APR,80.0
204,ES1,C00301,IT0001481,14-APR,3.0
205,ES1,C00313,IT0001016,17-APR,2.0
206,ES1,C00172,IT0001415,13-NOV,2.0
207,ES1,C00238,IT0001040,17-NOV,216.0
208,ES1,C00238,IT0001040,17-NOV,216.0
209,ES1,C00238,IT0001040,17-NOV,216.0
210,ES1,C00280,IT0001068,21-NOV,72.0
211,ES1,C00301,IT0001040,24-NOV,72.0
212,ES1,C00126,IT0001076,25-NOV,500.0
213,ES3,C00277,IT0001076,01-DEC,600.0
214,ES1,C00301,IT0001012,27-JUN,4000.0
215,ES1,C00301,IT0001088,27-JUN,480.0
216,ES1,C00301,IT0001088,27-JUN,480.0
217,ES1,C00301,IT0001151,27-JUN,120.0
218,ES1,C00301,IT0001151,27-JUN,120.0
219,ES3,C00159,IT0001088,29-JUN,320.0
220,ES3,C00115,IT0001033,01-JUL,260.0
221,ES3,C00301,IT0001415,06-JUL,5.0
222,ES3,C00238,IT0001012,09-JUL,1500.0
223,ES3,C00238,IT0001012,09-JUL,1500.0
224,ES3,C00238,IT0001012,09-JUL,1500.0
225,ES1,C00301,IT0001162,16-JUL,40.0
226,ES3,C00246,IT0001068,24-JUL,72.0
227,ES3,C00115,IT0001068,15-AUG,360.0
228,ES3,C00115,IT0001068,15-AUG,360.0
229,ES3,C00115,IT0001068,15-AUG,360.0
230,ES1,C00312,IT0001088,03-AUG,160.0
231,ES1,C00283,IT0001151,12-AUG,192.0
232,ES1,C00283,IT0001471,12-AUG,15.0
233,ES1,C00283,IT0001488,12-AUG,4.0
234,ES1,C00172,IT0001433,19-AUG,3.0
235,ES1,C00257,IT0001020,24-AUG,160.0
236,ES1,C00257,IT0001124,24-AUG,24.0
237,ES1,C00257,IT0001415,24-AUG,10.0
238,ES1,C00186,IT0001471,28-AUG,13.0
239,ES1,C00334,IT0001170,28-AUG,24.0
240,ES3,C00316,IT0001012,03-SEP,250.0
241,ES1,C00240,IT0001020,08-SEP,320.0
242,ES1,C00246,IT0001088,09-SEP,160.0
243,ES1,C00110,IT0001020,12-SEP,320.0
